"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5638","Register User with existing email","","Tue Oct 21 22:03:45 EET 2025","passed","Tue Oct 21 22:03:51 EET 2025","","Smoke Test - Register User Flow (POM)","",""
"","14602","Login User with correct email and password","","Tue Oct 21 22:03:03 EET 2025","passed","Tue Oct 21 22:03:17 EET 2025","","Smoke Test - Login User Flow (POM)","",""
"","10977","Contact us Flow","","Tue Oct 21 22:07:20 EET 2025","passed","Tue Oct 21 22:07:31 EET 2025","","Smoke Test - Contact Us Flow (POM)","",""
"","8271","View & Cart Brand Products","","Tue Oct 21 22:06:59 EET 2025","passed","Tue Oct 21 22:07:08 EET 2025","","Smoke Test - Brand Flow (POM)","",""
"","6840","Verify products Quantity in Cart","","Tue Oct 21 22:06:39 EET 2025","passed","Tue Oct 21 22:06:46 EET 2025","","Smoke Test - Cart Page Flow (POM)","",""
"","18646","Should register and delete user successfully","","Tue Oct 21 22:03:26 EET 2025","passed","Tue Oct 21 22:03:45 EET 2025","","Smoke Test - Register User Flow (POM)","",""
"","3893","Verify Test Cases Page","","Tue Oct 21 22:08:34 EET 2025","passed","Tue Oct 21 22:08:38 EET 2025","","Smoke Test - TestCases Page (POM)","",""
"","10123","Add review on product","","Tue Oct 21 22:07:34 EET 2025","passed","Tue Oct 21 22:07:44 EET 2025","","Smoke Test -  Verify Review Products POM","",""
"","7957","Add products in Cart","","Tue Oct 21 22:06:30 EET 2025","passed","Tue Oct 21 22:06:38 EET 2025","","Smoke Test - Cart Page Flow (POM)","",""
"","27290","Download Invoice after purchase order","","Tue Oct 21 22:05:32 EET 2025","passed","Tue Oct 21 22:06:00 EET 2025","","Smoke Test - Checkout Flow (POM)","",""
"","4013","Verify Subscription in Cart page","","Tue Oct 21 22:06:26 EET 2025","passed","Tue Oct 21 22:06:30 EET 2025","","Smoke Test - Cart Page Flow (POM)","",""
"","21789","Verify address details in checkout page","","Tue Oct 21 22:06:00 EET 2025","passed","Tue Oct 21 22:06:22 EET 2025","","Smoke Test - Checkout Flow (POM)","",""
"","4259","Add products from recomended item","","Tue Oct 21 22:06:52 EET 2025","passed","Tue Oct 21 22:06:56 EET 2025","","Smoke Test - Cart Page Flow (POM)","",""
"","4016","Verify Scroll Up using Arrow button and Scroll Down functionality","","Tue Oct 21 22:07:49 EET 2025","passed","Tue Oct 21 22:07:53 EET 2025","","Smoke Test -  Verify Scroll Test POM","",""
"","20699","Place Order: Login before Checkout","","Tue Oct 21 22:05:11 EET 2025","passed","Tue Oct 21 22:05:32 EET 2025","","Smoke Test - Checkout Flow (POM)","",""
"","14954","Search Products and Verify Cart After Login","","Tue Oct 21 22:08:07 EET 2025","passed","Tue Oct 21 22:08:22 EET 2025","","Smoke Test -  Verify search Product POM","",""
"","2821","Verify Scroll Up without Arrow button and Scroll Down functionality","","Tue Oct 21 22:07:54 EET 2025","passed","Tue Oct 21 22:07:56 EET 2025","","Smoke Test -  Verify Scroll Test POM","",""
"","5151","Remove products from Cart","","Tue Oct 21 22:06:46 EET 2025","passed","Tue Oct 21 22:06:51 EET 2025","","Smoke Test - Cart Page Flow (POM)","",""
"","10063","Verify All Products and product detail page ","","Tue Oct 21 21:59:57 EET 2025","passed","Tue Oct 21 22:00:07 EET 2025","","Smoke Test -  Verify products and products details page POM","",""
"","17386","Place Order: Login while Checkout","","Tue Oct 21 22:04:25 EET 2025","passed","Tue Oct 21 22:04:43 EET 2025","","Smoke Test - Checkout Flow (POM)","",""
"","27506","Place Order: Register before Checkout","","Tue Oct 21 22:04:43 EET 2025","passed","Tue Oct 21 22:05:11 EET 2025","","Smoke Test - Checkout Flow (POM)","",""
"","7137","Verify Search Product","","Tue Oct 21 22:08:00 EET 2025","passed","Tue Oct 21 22:08:07 EET 2025","","Smoke Test -  Verify search Product POM","",""
"","11543","Verify user can successfully log out","","Tue Oct 21 22:03:55 EET 2025","passed","Tue Oct 21 22:04:06 EET 2025","","Smoke Test - Logout User Flow (POM)","",""
"","5379","View Category Products","","Tue Oct 21 22:07:11 EET 2025","passed","Tue Oct 21 22:07:16 EET 2025","","Smoke Test - Category Products Flow (POM)","",""
"","3793","Verify Subscription in home page","","Tue Oct 21 22:08:26 EET 2025","passed","Tue Oct 21 22:08:30 EET 2025","","Smoke Test -  Verify Subscription process","",""
"","4792","Login User with incorrect email and password","","Tue Oct 21 22:03:17 EET 2025","passed","Tue Oct 21 22:03:22 EET 2025","","Smoke Test - Login User Flow (POM)","",""
